date,index,expiry_tag,offset,horizon,window,k,mode,scale,bucket_ms,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,at,ann_use,ann_space,ann_max_candidates,ann_enabled,ann_total_windows,ann_shortlisted,ann_build_ms,ann_index_mem_bytes,ann_prune_ratio,ann_effectiveness,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,samples,coverage,band_width,mae,bias
2025-09-30,NIFTY,next_week,+50,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,19,10,302,9120,0.5263157894736842,,305,2,0.006557377049180328,0.0,19.0,nan,nan,1.6149016102373224,1.6149016102373224
2025-10-01,NIFTY,next_week,+50,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,9120,,,2,2,1.0,0.0,59.0,nan,nan,5.168309435703955,-5.126520527752708
2025-10-03,NIFTY,next_week,+50,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,9120,,,2,3,1.5,0.0,60.0,nan,nan,2.1550646579840445,1.0481784137025945
2025-10-07,NIFTY,next_week,+50,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,9120,,,2,2,1.0,0.0,60.0,nan,nan,5.399579832213343,4.596866155026959
2025-10-08,NIFTY,next_week,+50,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,9120,,,2,2,1.0,0.0,60.0,nan,nan,4.002442538269739,3.0552663849540447
2025-10-10,NIFTY,next_week,+50,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,9120,,,2,2,1.0,0.0,60.0,nan,nan,2.854361116578761,-2.8408558082497306
2025-10-24,NIFTY,next_week,+50,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,9120,,,2,2,1.0,0.0,0,nan,nan,nan,nan
2025-10-28,NIFTY,next_week,+50,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,9120,,,2,2,1.0,0.0,60.0,nan,nan,11.321673394846329,11.320744930053788
2025-10-29,NIFTY,next_week,+50,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,9120,,,2,2,1.0,0.0,60.0,nan,nan,4.074899713164326,1.8048332065614687
2025-10-30,NIFTY,next_week,+50,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,9120,,,2,2,1.0,0.0,32.0,nan,nan,2.046172287651215,-1.9580308503548043
2025-10-31,NIFTY,next_week,+50,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,19,10,1,8512,0.5263157894736842,,3,3,1.0,0.4247469035461033,57.0,nan,nan,1.852164690679641,-0.49199970033740964
2025-11-03,NIFTY,next_week,+50,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,9120,,,2,2,1.0,0.0,38.0,nan,nan,5.06740930744258,4.633478024772923
2025-11-04,NIFTY,next_week,+50,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,9120,,,2,2,1.0,0.0,60.0,nan,nan,2.7011752495033488,2.4515179287753286
2025-11-06,NIFTY,next_week,+50,60,120,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,10,1,0,24,0,9120,,,2,2,1.0,0.0,60.0,nan,nan,3.159129462987223,2.7018515407322807
