date,index,expiry_tag,offset,horizon,window,k,mode,scale,bucket_ms,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,at,ann_use,ann_space,ann_max_candidates,ann_enabled,ann_total_windows,ann_shortlisted,ann_build_ms,ann_index_mem_bytes,ann_prune_ratio,ann_effectiveness,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_guard_triggered,ann_guard_original_mad,samples,coverage,band_width,mae,bias
2025-11-12,NIFTY,this_week,0,60,60,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,29,20,929,6960,0.6896551724137931,,936,6,0.00641025641025641,0.0,0,,60.0,nan,nan,5.835398682840421,-5.614212354521635
2025-11-13,NIFTY,this_week,0,60,60,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,20,0,6960,,,4,5,1.25,0.0,0,,60.0,nan,nan,3.2433285664423384,-3.231987508088124
2025-11-14,NIFTY,this_week,0,60,60,10,retrieval,1.0,60000,l2,none,0.9,,1.25,mid,1,cosine,20,1,0,20,0,6960,,,4,5,1.25,0.0,0,,59.0,nan,nan,6.4905849730428224,-6.4905849730428224
