index,expiry_tag,offset,horizon,window,k,mode,rows,speedup_avg,prune_ratio_avg,q50_mad_avg,latency_ms_avg,baseline_latency_ms_avg,effectiveness_score,score
NIFTY,next_week,+50,60,60,10,auto,14,1.0174,1.0,0.0,25.36,3.86,0.0,0.992
NIFTY,next_week,0,60,60,15,retrieval,14,1.0005,1.0,0.0,23.43,1.21,0.0,0.977
NIFTY,next_week,0,60,60,15,hybrid,14,0.9831,1.0,0.0,24.71,3.21,0.0,0.9584
NIFTY,next_week,0,60,60,10,auto,14,0.9769,1.0,0.0,24.36,2.64,0.0,0.9525
NIFTY,next_week,0,60,60,10,retrieval,14,0.9647,1.0,0.0,23.43,1.14,0.0,0.9413
NIFTY,next_week,+50,60,120,10,hybrid,14,0.965,1.0,0.0,24.86,3.21,0.0,0.9401
NIFTY,this_week,+50,60,120,10,retrieval,15,0.967,1.0,0.0,27.93,2.4,0.0,0.9391
NIFTY,this_week,0,60,120,10,hybrid,15,0.9674,1.0,0.0,29.13,4.13,0.0,0.9382
NIFTY,this_week,0,60,60,10,hybrid,15,0.9616,1.0,0.0,27.93,3.13,0.0,0.9337
NIFTY,this_week,+50,60,60,15,auto,15,0.9561,1.0,0.0,27.13,3.07,0.0,0.929
NIFTY,this_week,0,60,60,15,hybrid,15,0.9561,1.0,0.0,27.8,3.07,0.0,0.9283
NIFTY,next_week,0,60,120,10,hybrid,14,0.9531,1.0,0.0,25.0,3.07,0.0,0.9281
NIFTY,this_week,0,60,120,10,retrieval,15,0.9505,1.0,0.0,27.53,2.4,0.0,0.923
NIFTY,this_week,0,60,120,15,hybrid,15,0.9507,1.0,0.0,28.33,3.6,0.0,0.9224
NIFTY,this_week,0,60,60,15,retrieval,15,0.9448,1.0,0.0,27.27,2.2,0.0,0.9175
NIFTY,next_week,+50,60,120,15,retrieval,14,0.9409,1.0,0.0,24.07,2.07,0.0,0.9169
NIFTY,next_week,+50,60,120,10,retrieval,14,0.9409,1.0,0.0,24.64,2.14,0.0,0.9163
NIFTY,this_week,0,60,60,15,auto,15,0.945,1.0,0.0,28.8,3.2,0.0,0.9162
NIFTY,next_week,+50,60,120,15,auto,14,0.9352,1.0,0.0,24.64,3.07,0.0,0.9106
NIFTY,this_week,+50,60,60,10,hybrid,15,0.9339,1.0,0.0,27.4,3.0,0.0,0.9065
NIFTY,this_week,0,60,60,10,auto,15,0.9339,1.0,0.0,27.47,3.0,0.0,0.9064
NIFTY,this_week,+50,60,60,10,retrieval,15,0.9337,1.0,0.0,27.53,2.0,0.0,0.9061
NIFTY,next_week,0,60,60,10,hybrid,14,0.9293,1.0,0.0,24.5,2.5,0.0,0.9048
NIFTY,next_week,+50,60,60,15,auto,14,0.9292,1.0,0.0,27.21,3.0,0.0,0.902
NIFTY,this_week,+50,60,120,10,hybrid,15,0.9285,1.0,0.0,27.4,3.4,0.0,0.9011
NIFTY,next_week,+50,60,60,15,hybrid,14,0.9284,1.0,0.0,29.86,4.36,0.0,0.8985
NIFTY,this_week,0,60,120,10,auto,15,0.9284,1.0,0.0,31.13,4.2,0.0,0.8973
NIFTY,this_week,+50,60,120,15,retrieval,15,0.9226,1.0,0.0,26.47,2.07,0.0,0.8961
NIFTY,next_week,0,60,120,15,hybrid,14,0.9209,1.0,0.0,25.43,3.29,0.0,0.8955
NIFTY,this_week,+50,60,60,15,hybrid,15,0.9172,1.0,0.0,27.33,3.0,0.0,0.8899
NIFTY,this_week,+50,60,60,10,auto,15,0.9172,1.0,0.0,27.8,3.0,0.0,0.8894
NIFTY,this_week,0,60,120,15,retrieval,15,0.9172,1.0,0.0,28.07,2.6,0.0,0.8891
NIFTY,this_week,+50,60,120,15,hybrid,15,0.9174,1.0,0.0,28.4,3.73,0.0,0.889
NIFTY,next_week,0,60,120,15,auto,14,0.9114,1.0,0.0,24.79,3.0,0.0,0.8866
NIFTY,next_week,+50,60,120,15,hybrid,14,0.9116,1.0,0.0,26.0,3.43,0.0,0.8856
NIFTY,next_week,+50,60,60,10,hybrid,14,0.9055,1.0,0.0,24.5,2.64,0.0,0.881
NIFTY,next_week,0,60,120,10,retrieval,14,0.9052,1.0,0.0,24.86,2.0,0.0,0.8803
NIFTY,this_week,0,60,120,15,auto,15,0.9062,1.0,0.0,29.47,3.67,0.0,0.8768
NIFTY,this_week,+50,60,60,15,retrieval,15,0.9004,1.0,0.0,26.53,1.93,0.0,0.8738
NIFTY,next_week,+50,60,60,10,retrieval,14,0.8933,1.0,0.0,23.86,1.14,0.0,0.8694
NIFTY,next_week,0,60,120,10,auto,14,0.8936,1.0,0.0,25.0,3.0,0.0,0.8686
NIFTY,next_week,+50,60,120,10,auto,14,0.8935,1.0,0.0,25.64,3.14,0.0,0.8679
NIFTY,this_week,+50,60,120,15,auto,15,0.8896,1.0,0.0,27.47,3.27,0.0,0.8622
NIFTY,next_week,0,60,120,15,retrieval,14,0.8814,1.0,0.0,24.0,2.0,0.0,0.8574
NIFTY,this_week,+50,60,120,10,auto,15,0.8541,1.0,0.0,27.4,3.2,0.0,0.8267
NIFTY,next_week,0,60,60,15,auto,14,0.84,1.0,0.0,24.64,2.71,0.0,0.8153
NIFTY,next_week,+50,60,60,15,retrieval,14,0.8219,1.0,0.0,24.64,1.64,0.0,0.7972
NIFTY,this_week,0,60,60,10,retrieval,15,0.8004,1.0,0.0,26.33,1.73,0.0,0.774
