index,expiry_tag,offset,horizon,window,k,mode,extended_speedup_avg,extended_prune_ratio_avg,extended_q50_mad_avg,extended_latency_ms_avg,extended_baseline_latency_ms_avg,extended_effectiveness_score,extended_effectiveness_score_adjusted,extended_ann_guard_trigger_rate,extended_score,tuned_speedup_avg,tuned_prune_ratio_avg,tuned_q50_mad_avg,tuned_latency_ms_avg,tuned_baseline_latency_ms_avg,tuned_effectiveness_score,tuned_effectiveness_score_adjusted,tuned_ann_guard_trigger_rate,tuned_score,delta_speedup_avg,delta_prune_ratio_avg,delta_q50_mad_avg,delta_latency_ms_avg,delta_baseline_latency_ms_avg,delta_effectiveness_score,delta_effectiveness_score_adjusted,delta_ann_guard_trigger_rate,delta_score
NIFTY,next_week,0,60,120,15,hybrid,0.953,1.0,0.0,26.21,3.29,0.0,0.0,0.0,0.9268,1.0005,1.0,0.0,35.71,3.5,0.0,0.0,0.0,0.9648,0.04749999999999999,0.0,0.0,9.5,0.20999999999999996,0.0,0.0,0.0,0.038000000000000034
NIFTY,next_week,0,60,120,15,retrieval,0.9052,1.0,0.0,23.43,2.0,0.0,0.0,0.0,0.8818,0.8699,1.0,0.0,26.71,2.29,0.0,0.0,0.0,0.8432,-0.0353,0.0,0.0,3.280000000000001,0.29000000000000004,0.0,0.0,0.0,-0.03860000000000008
NIFTY,next_week,0,60,60,10,auto,0.8459,1.0,0.0,25.07,2.57,0.0,0.0,0.0,0.8208,0.9292,1.0,0.0,25.71,2.5,0.0,0.0,0.0,0.9035,0.08330000000000004,0.0,0.0,0.6400000000000006,-0.06999999999999984,0.0,0.0,0.0,0.0827
NIFTY,next_week,0,60,60,10,hybrid,0.8816,1.0,0.0,25.14,2.79,0.0,0.0,0.0,0.8565,0.9649,1.0,0.0,35.93,2.79,0.0,0.0,0.0,0.929,0.08329999999999993,0.0,0.0,10.79,0.0,0.0,0.0,0.0,0.07250000000000001
NIFTY,next_week,0,60,60,10,retrieval,0.8576,1.0,0.0,23.71,1.14,0.0,0.0,0.0,0.8339,1.0002,1.0,0.0,23.71,1.07,0.0,0.0,0.0,0.9765,0.14259999999999995,0.0,0.0,0.0,-0.06999999999999984,0.0,0.0,0.0,0.14260000000000006
NIFTY,next_week,0,60,60,15,auto,0.9174,1.0,0.0,24.0,2.21,0.0,0.0,0.0,0.8934,0.8935,1.0,0.0,26.14,2.36,0.0,0.0,0.0,0.8674,-0.023900000000000032,0.0,0.0,2.1400000000000006,0.1499999999999999,0.0,0.0,0.0,-0.026000000000000023
NIFTY,next_week,0,60,60,15,hybrid,0.9173,1.0,0.0,24.93,2.64,0.0,0.0,0.0,0.8924,1.0759,1.0,0.0,25.14,3.0,0.0,0.0,0.0,1.0508,0.15860000000000007,0.0,0.0,0.21000000000000085,0.3599999999999999,0.0,0.0,0.0,0.15839999999999999
NIFTY,next_week,0,60,60,15,retrieval,0.9647,1.0,0.0,23.57,1.29,0.0,0.0,0.0,0.9412,0.8577,1.0,0.0,30.43,1.86,0.0,0.0,0.0,0.8272,-0.10699999999999998,0.0,0.0,6.859999999999999,0.5700000000000001,0.0,0.0,0.0,-0.11399999999999999
NIFTY,this_week,+50,60,120,10,auto,0.9285,1.0,0.0,26.93,3.33,0.0,0.0,0.0,0.9016,0.9341,0.8696,0.1567,26.47,3.13,-0.034892,0.0,0.0,0.9981,0.005600000000000049,-0.13039999999999996,0.1567,-0.46000000000000085,-0.20000000000000018,-0.034892,0.0,0.0,0.09650000000000003
NIFTY,this_week,+50,60,120,10,hybrid,0.9787,1.0,0.0,27.0,3.4,0.0,0.0,0.0,0.9517,0.9173,0.8696,0.1567,37.6,4.13,-0.037079,0.0,0.0,0.968,-0.06140000000000001,-0.13039999999999996,0.1567,10.600000000000001,0.73,-0.037079,0.0,0.0,0.01629999999999998
NIFTY,this_week,+50,60,120,10,retrieval,0.9448,1.0,0.0,26.8,2.07,0.0,0.0,0.0,0.918,0.8893,0.8696,0.0,25.8,2.0,0.115991,0.124224,0.0,0.9795,-0.055499999999999994,-0.13039999999999996,0.0,-1.0,-0.06999999999999984,0.115991,0.124224,0.0,0.0615
NIFTY,this_week,+50,60,120,15,auto,0.8952,1.0,0.0,27.93,3.4,0.0,0.0,0.0,0.8672,0.9339,0.8696,0.1572,28.27,3.47,-0.035372,0.0,0.0,0.996,0.03869999999999996,-0.13039999999999996,0.1572,0.33999999999999986,0.07000000000000028,-0.035372,0.0,0.0,0.12880000000000003
NIFTY,this_week,+50,60,120,15,hybrid,0.9229,1.0,0.0,29.93,4.13,0.0,0.0,0.0,0.893,0.9651,0.8696,0.1572,30.67,3.4,-0.0313,0.0,0.0,1.0289,0.042199999999999904,-0.13039999999999996,0.1572,0.740000000000002,-0.73,-0.0313,0.0,0.0,0.1358999999999999
NIFTY,this_week,+50,60,120,15,retrieval,0.945,1.0,0.0,26.6,2.13,0.0,0.0,0.0,0.9184,0.9449,0.8696,0.0,38.33,2.33,0.123252,0.131988,0.0,1.0299,-9.999999999998899e-05,-0.13039999999999996,0.0,11.729999999999997,0.20000000000000018,0.123252,0.131988,0.0,0.11150000000000004
NIFTY,this_week,+50,60,60,10,auto,0.9394,1.0,0.0,27.6,3.07,0.0,0.0,0.0,0.9118,0.9172,0.8333,0.1978,26.67,3.0,-0.044949,0.0,0.0,1.0039,-0.022199999999999998,-0.16669999999999996,0.1978,-0.9299999999999997,-0.06999999999999984,-0.044949,0.0,0.0,0.09209999999999996
NIFTY,this_week,+50,60,60,10,hybrid,0.8894,1.0,0.0,27.53,2.87,0.0,0.0,0.0,0.8619,0.9339,0.8333,0.1978,26.8,3.0,-0.042172,0.0,0.0,1.0232,0.044499999999999984,-0.16669999999999996,0.1978,-0.7300000000000004,0.1299999999999999,-0.042172,0.0,0.0,0.1613000000000001
NIFTY,this_week,+50,60,60,10,retrieval,0.9337,1.0,0.0,27.4,2.0,0.0,0.0,0.0,0.9063,0.7337,0.8333,0.0,25.33,1.4,0.122285,0.0,0.0,0.8307,-0.19999999999999996,-0.16669999999999996,0.0,-2.0700000000000003,-0.6000000000000001,0.122285,0.0,0.0,-0.0756
NIFTY,this_week,+50,60,60,15,auto,0.9339,1.0,0.0,27.2,3.0,0.0,0.0,0.0,0.9067,0.9339,0.8333,0.2005,26.53,3.0,-0.044874,0.0,0.0,1.0229,0.0,-0.16669999999999996,0.2005,-0.6699999999999982,0.0,-0.044874,0.0,0.0,0.11619999999999997
NIFTY,this_week,+50,60,60,15,hybrid,0.9561,1.0,0.0,27.6,3.07,0.0,0.0,0.0,0.9285,0.9339,0.8333,0.2005,26.53,3.0,-0.044874,0.0,0.0,1.0229,-0.022199999999999998,-0.16669999999999996,0.2005,-1.0700000000000003,-0.06999999999999984,-0.044874,0.0,0.0,0.09439999999999993
NIFTY,this_week,+50,60,60,15,retrieval,0.9004,1.0,0.0,26.33,1.93,0.0,0.0,0.0,0.874,0.867,0.8333,0.0,26.0,2.13,0.144507,0.0,0.0,0.9855,-0.033399999999999985,-0.16669999999999996,0.0,-0.3299999999999983,0.19999999999999996,0.144507,0.0,0.0,0.11150000000000004
NIFTY,this_week,0,60,120,10,auto,0.8952,1.0,0.0,28.6,3.53,0.0,0.0,0.0,0.8666,0.9174,0.8696,0.1876,28.2,3.2,-0.067928,0.0,0.0,0.9713,0.022199999999999998,-0.13039999999999996,0.1876,-0.40000000000000213,-0.3299999999999996,-0.067928,0.0,0.0,0.10470000000000002
NIFTY,this_week,0,60,120,10,hybrid,0.9285,1.0,0.0,29.2,4.0,0.0,0.0,0.0,0.8993,0.9341,0.8696,0.1876,27.2,3.07,-0.065751,0.0,0.0,0.9912,0.005600000000000049,-0.13039999999999996,0.1876,-2.0,-0.9300000000000002,-0.065751,0.0,0.0,0.09189999999999998
NIFTY,this_week,0,60,120,10,retrieval,0.9283,1.0,0.0,29.53,2.33,0.0,0.0,0.0,0.8987,0.8894,0.8696,0.0,27.07,2.4,0.116012,0.124224,0.0,0.9784,-0.038900000000000046,-0.13039999999999996,0.0,-2.460000000000001,0.06999999999999984,0.116012,0.124224,0.0,0.0797
NIFTY,this_week,0,60,120,15,auto,0.9396,1.0,0.0,27.67,3.47,0.0,0.0,0.0,0.9119,0.8896,0.8696,0.1861,27.6,3.13,-0.070107,0.0,0.0,0.9408,-0.050000000000000044,-0.13039999999999996,0.1861,-0.07000000000000028,-0.3400000000000003,-0.070107,0.0,0.0,0.028899999999999926
NIFTY,this_week,0,60,120,15,hybrid,0.9718,1.0,0.0,28.8,4.53,0.0,0.0,0.0,0.943,0.9783,0.8696,0.1861,27.0,3.2,-0.058535,0.0,0.0,1.0417,0.00649999999999995,-0.13039999999999996,0.1861,-1.8000000000000007,-1.33,-0.058535,0.0,0.0,0.09870000000000012
NIFTY,this_week,0,60,120,15,retrieval,0.9005,1.0,0.0,26.8,2.13,0.0,0.0,0.0,0.8737,0.9448,0.8696,0.0,26.27,2.07,0.123236,0.131988,0.0,1.0418,0.044300000000000006,-0.13039999999999996,0.0,-0.5300000000000011,-0.06000000000000005,0.123236,0.131988,0.0,0.16810000000000003
NIFTY,this_week,0,60,60,10,auto,0.895,1.0,0.0,28.93,2.93,0.0,0.0,0.0,0.866,0.9339,0.8333,0.2394,27.2,3.0,-0.083779,0.0,0.0,1.0144,0.038899999999999935,-0.16669999999999996,0.2394,-1.7300000000000004,0.06999999999999984,-0.083779,0.0,0.0,0.14839999999999998
NIFTY,this_week,0,60,60,10,hybrid,0.9394,1.0,0.0,27.87,3.07,0.0,0.0,0.0,0.9116,0.8961,0.8333,0.2394,26.87,2.8,-0.090074,0.0,0.0,0.9707,-0.043300000000000005,-0.16669999999999996,0.2394,-1.0,-0.27,-0.090074,0.0,0.0,0.05910000000000004
NIFTY,this_week,0,60,60,10,retrieval,0.867,1.0,0.0,26.07,1.73,0.0,0.0,0.0,0.841,0.9004,0.8333,0.0,26.47,1.93,0.15006,0.0,0.0,1.024,0.033399999999999985,-0.16669999999999996,0.0,0.3999999999999986,0.19999999999999996,0.15006,0.0,0.0,0.18300000000000005
NIFTY,this_week,0,60,60,15,auto,0.9394,1.0,0.0,27.73,3.07,0.0,0.0,0.0,0.9117,0.9072,0.8333,0.2399,28.2,3.0,-0.088724,0.0,0.0,0.9822,-0.032200000000000006,-0.16669999999999996,0.2399,0.46999999999999886,-0.06999999999999984,-0.088724,0.0,0.0,0.07050000000000001
NIFTY,this_week,0,60,60,15,hybrid,0.9394,1.0,0.0,27.93,3.13,0.0,0.0,0.0,0.9115,0.9339,0.8333,0.2399,27.27,3.0,-0.084277,0.0,0.0,1.0143,-0.00550000000000006,-0.16669999999999996,0.2399,-0.6600000000000001,-0.1299999999999999,-0.084277,0.0,0.0,0.1028
NIFTY,this_week,0,60,60,15,retrieval,0.9337,1.0,0.0,26.67,2.0,0.0,0.0,0.0,0.907,0.9337,0.8333,0.0,27.6,2.0,0.155613,0.0,0.0,1.0617,0.0,-0.16669999999999996,0.0,0.9299999999999997,0.0,0.155613,0.0,0.0,0.15470000000000006
