index,expiry_tag,offset,horizon,window,k,mode,rows,speedup_avg,prune_ratio_avg,q50_mad_avg,latency_ms_avg,baseline_latency_ms_avg,score
NIFTY,this_week,+50,60,120,15,retrieval,15,1.0117,0.4348,0.1078,26.8,2.4,1.5351
NIFTY,this_week,0,60,60,10,retrieval,15,0.9337,0.4167,0.0,27.67,2.0,1.4507
NIFTY,this_week,+50,60,60,15,retrieval,15,0.9337,0.4167,0.0962,25.8,2.0,1.4333
NIFTY,next_week,0,60,60,10,retrieval,14,0.9647,0.5263,0.0,23.57,1.14,1.3981
NIFTY,this_week,0,60,60,15,retrieval,15,0.9004,0.4167,0.0151,26.47,1.93,1.3961
NIFTY,next_week,+50,60,60,10,retrieval,14,0.9647,0.5263,0.0166,23.29,1.36,1.3951
NIFTY,next_week,+50,60,120,10,retrieval,14,0.9648,0.5263,0.0303,23.71,2.14,1.392
NIFTY,this_week,0,60,120,10,retrieval,15,0.9115,0.4348,0.0537,26.67,2.0,1.3893
NIFTY,this_week,+50,60,60,10,retrieval,15,0.9004,0.4167,0.0626,25.73,1.53,1.3873
NIFTY,next_week,0,60,120,10,retrieval,14,0.9409,0.5263,0.0535,24.14,2.07,1.3518
NIFTY,this_week,0,60,120,15,retrieval,15,0.8894,0.4348,0.0872,26.93,2.13,1.3478
NIFTY,next_week,+50,60,120,15,auto,14,0.989,0.5263,0.4501,26.14,3.79,1.3413
NIFTY,next_week,+50,60,60,10,auto,14,0.9888,0.5263,0.4646,24.0,2.57,1.3403
NIFTY,this_week,+50,60,120,10,retrieval,15,0.8783,0.4348,0.0511,26.2,2.13,1.3384
NIFTY,next_week,+50,60,120,15,retrieval,14,0.929,0.5263,0.0548,23.57,2.0,1.3346
NIFTY,next_week,0,60,60,15,hybrid,14,0.965,0.5263,0.3385,25.0,2.71,1.3294
NIFTY,next_week,0,60,60,10,hybrid,14,0.9769,0.5263,0.4421,25.36,2.93,1.3258
NIFTY,next_week,0,60,120,15,retrieval,14,0.929,0.5263,0.12,24.14,2.0,1.321
NIFTY,next_week,+50,60,60,15,hybrid,14,0.9531,0.5263,0.3389,24.36,2.64,1.3124
NIFTY,next_week,+50,60,60,15,auto,14,0.953,0.5263,0.3389,26.07,3.07,1.3106
NIFTY,next_week,+50,60,120,10,auto,14,0.9531,0.5263,0.4484,24.5,3.07,1.2904
NIFTY,next_week,0,60,120,10,auto,14,0.9535,0.5263,0.5156,24.71,3.21,1.2774
NIFTY,next_week,+50,60,120,10,hybrid,14,0.9352,0.5263,0.4484,24.71,3.07,1.2638
NIFTY,next_week,0,60,120,15,auto,14,0.9306,0.5263,0.4792,26.71,3.36,1.2489
NIFTY,this_week,+50,60,60,10,auto,15,0.9672,0.4167,1.2791,27.13,3.0,1.2485
NIFTY,next_week,0,60,60,15,auto,14,0.9054,0.5263,0.3385,25.57,2.79,1.2411
NIFTY,next_week,0,60,60,10,auto,14,0.9171,0.5263,0.4421,24.07,2.14,1.2391
NIFTY,next_week,+50,60,60,10,hybrid,14,0.9174,0.5263,0.4646,24.36,2.57,1.2346
NIFTY,next_week,0,60,60,15,retrieval,14,0.8576,0.5263,0.0329,23.64,1.21,1.2336
NIFTY,next_week,+50,60,120,15,hybrid,14,0.9114,0.5263,0.4501,24.86,3.0,1.2283
NIFTY,this_week,+50,60,120,10,auto,15,0.9618,0.4348,1.3101,27.87,3.53,1.2156
NIFTY,next_week,0,60,120,15,hybrid,14,0.8995,0.5263,0.4792,24.86,3.07,1.2049
NIFTY,this_week,+50,60,120,15,hybrid,15,0.9507,0.4348,1.3344,27.8,3.6,1.1934
NIFTY,this_week,+50,60,120,10,hybrid,15,0.9396,0.4348,1.3101,27.27,3.2,1.1814
NIFTY,this_week,+50,60,60,15,auto,15,0.9394,0.4167,1.3931,28.13,3.2,1.1807
NIFTY,this_week,+50,60,60,15,hybrid,15,0.9339,0.4167,1.3931,27.27,3.0,1.1728
NIFTY,this_week,0,60,120,10,hybrid,15,0.9618,0.4348,1.5366,27.73,3.2,1.1704
NIFTY,this_week,+50,60,60,10,hybrid,15,0.9172,0.4167,1.2791,27.47,3.0,1.169
NIFTY,next_week,0,60,120,10,hybrid,14,0.8757,0.5263,0.5156,26.0,3.0,1.1613
NIFTY,this_week,+50,60,120,15,auto,15,0.9196,0.4348,1.3344,29.67,4.07,1.1428
NIFTY,this_week,0,60,60,15,auto,15,0.9339,0.4167,1.5873,27.53,3.0,1.1336
NIFTY,next_week,+50,60,60,15,retrieval,14,0.7862,0.5263,0.0151,23.21,1.14,1.1323
NIFTY,this_week,0,60,120,15,auto,15,0.9205,0.4348,1.459,29.0,3.93,1.12
NIFTY,this_week,0,60,60,10,auto,15,0.9171,0.4167,1.5663,32.47,3.27,1.1064
NIFTY,this_week,0,60,60,15,hybrid,15,0.9172,0.4167,1.5873,28.73,3.0,1.106
NIFTY,this_week,0,60,60,10,hybrid,15,0.9061,0.4167,1.5663,28.33,3.07,1.093
NIFTY,this_week,0,60,120,10,auto,15,0.9063,0.4348,1.5366,28.07,3.4,1.0831
NIFTY,this_week,0,60,120,15,hybrid,15,0.8896,0.4348,1.459,28.73,3.53,1.0719
