index,expiry_tag,offset,horizon,window,k,mode,rows,speedup_avg,prune_ratio_avg,q50_mad_avg,latency_ms_avg,baseline_latency_ms_avg,effectiveness_score,effectiveness_score_adjusted,ann_guard_trigger_rate,score
BANKNIFTY,this_month,0,60,120,10,retrieval,1,0.0063,1.0,0.0,319.0,2.0,0.0,0.0,0.0,-0.3127
BANKNIFTY,this_month,0,60,60,10,retrieval,1,0.0039,1.0,0.0,510.0,2.0,0.0,0.0,0.0,-0.5061
