horizon,window,k,mode,scale,n,coverage_avg,band_width_avg,mae_avg,bias_avg,samples_avg
30,60,10,auto,1.0,2,0.0,23.053832420664758,76.51611256533346,-76.51611256533346,30.0
30,60,15,auto,1.0,2,0.0,35.72636699435484,74.0240357910794,-74.0240357910794,30.0
30,180,10,auto,1.0,2,0.016666666666666666,49.09197801168954,74.16533906479765,-74.16533906479765,30.0
30,180,15,auto,1.0,2,0.0,60.54240357545715,64.00202569371402,-64.00202569371402,30.0
60,60,10,auto,1.0,2,0.0,30.161991610618408,68.53464680748348,-68.53464680748348,60.0
60,60,15,auto,1.0,2,0.0,42.74610386292499,63.48887644893011,-63.48887644893011,60.0
60,180,10,auto,1.0,2,0.13333333333333333,67.05823552933056,55.41399883537929,-55.41399883537929,60.0
60,180,15,auto,1.0,2,0.11666666666666667,77.79458241909072,52.65376762116736,-52.65376762116736,60.0
