horizon,window,k,mode,n,coverage_avg,band_width_avg,mae_avg,bias_avg,samples_avg
30,60,10,auto,6,nan,nan,nan,nan,0.0
30,60,10,hybrid,6,nan,nan,nan,nan,0.0
30,60,10,retrieval,6,nan,nan,nan,nan,0.0
30,60,15,auto,6,nan,nan,nan,nan,0.0
30,60,15,hybrid,6,nan,nan,nan,nan,0.0
30,60,15,retrieval,6,nan,nan,nan,nan,0.0
30,60,20,auto,6,nan,nan,nan,nan,0.0
30,60,20,hybrid,6,nan,nan,nan,nan,0.0
30,60,20,retrieval,6,nan,nan,nan,nan,0.0
30,120,10,auto,6,nan,nan,nan,nan,0.0
30,120,10,hybrid,6,nan,nan,nan,nan,0.0
30,120,10,retrieval,6,nan,nan,nan,nan,0.0
30,120,15,auto,6,nan,nan,nan,nan,0.0
30,120,15,hybrid,6,nan,nan,nan,nan,0.0
30,120,15,retrieval,6,nan,nan,nan,nan,0.0
30,120,20,auto,6,nan,nan,nan,nan,0.0
30,120,20,hybrid,6,nan,nan,nan,nan,0.0
30,120,20,retrieval,6,nan,nan,nan,nan,0.0
30,180,10,auto,6,nan,nan,nan,nan,0.0
30,180,10,hybrid,6,nan,nan,nan,nan,0.0
30,180,10,retrieval,6,nan,nan,nan,nan,0.0
30,180,15,auto,6,nan,nan,nan,nan,0.0
30,180,15,hybrid,6,nan,nan,nan,nan,0.0
30,180,15,retrieval,6,nan,nan,nan,nan,0.0
30,180,20,auto,6,nan,nan,nan,nan,0.0
30,180,20,hybrid,6,nan,nan,nan,nan,0.0
30,180,20,retrieval,6,nan,nan,nan,nan,0.0
30,374,10,auto,1,nan,nan,nan,nan,0.0
30,374,10,hybrid,1,nan,nan,nan,nan,0.0
30,374,10,retrieval,1,nan,nan,nan,nan,0.0
30,374,15,auto,1,nan,nan,nan,nan,0.0
30,374,15,hybrid,1,nan,nan,nan,nan,0.0
30,374,15,retrieval,1,nan,nan,nan,nan,0.0
30,374,20,auto,1,nan,nan,nan,nan,0.0
30,374,20,hybrid,1,nan,nan,nan,nan,0.0
30,374,20,retrieval,1,nan,nan,nan,nan,0.0
60,60,10,auto,6,nan,nan,nan,nan,0.0
60,60,10,hybrid,6,nan,nan,nan,nan,0.0
60,60,10,retrieval,6,nan,nan,nan,nan,0.0
60,60,15,auto,6,nan,nan,nan,nan,0.0
60,60,15,hybrid,6,nan,nan,nan,nan,0.0
60,60,15,retrieval,6,nan,nan,nan,nan,0.0
60,60,20,auto,6,nan,nan,nan,nan,0.0
60,60,20,hybrid,6,nan,nan,nan,nan,0.0
60,60,20,retrieval,6,nan,nan,nan,nan,0.0
60,120,10,auto,6,nan,nan,nan,nan,0.0
60,120,10,hybrid,6,nan,nan,nan,nan,0.0
60,120,10,retrieval,6,nan,nan,nan,nan,0.0
60,120,15,auto,6,nan,nan,nan,nan,0.0
60,120,15,hybrid,6,nan,nan,nan,nan,0.0
60,120,15,retrieval,6,nan,nan,nan,nan,0.0
60,120,20,auto,6,nan,nan,nan,nan,0.0
60,120,20,hybrid,6,nan,nan,nan,nan,0.0
60,120,20,retrieval,6,nan,nan,nan,nan,0.0
60,180,10,auto,3,nan,nan,nan,nan,0.0
60,180,10,hybrid,3,nan,nan,nan,nan,0.0
60,180,10,retrieval,3,nan,nan,nan,nan,0.0
60,180,15,auto,3,nan,nan,nan,nan,0.0
60,180,15,hybrid,3,nan,nan,nan,nan,0.0
60,180,15,retrieval,3,nan,nan,nan,nan,0.0
60,180,20,auto,3,nan,nan,nan,nan,0.0
60,180,20,hybrid,3,nan,nan,nan,nan,0.0
60,180,20,retrieval,3,nan,nan,nan,nan,0.0
60,374,10,auto,1,nan,nan,nan,nan,0.0
60,374,10,hybrid,1,nan,nan,nan,nan,0.0
60,374,10,retrieval,1,nan,nan,nan,nan,0.0
60,374,15,auto,1,nan,nan,nan,nan,0.0
60,374,15,hybrid,1,nan,nan,nan,nan,0.0
60,374,15,retrieval,1,nan,nan,nan,nan,0.0
60,374,20,auto,1,nan,nan,nan,nan,0.0
60,374,20,hybrid,1,nan,nan,nan,nan,0.0
60,374,20,retrieval,1,nan,nan,nan,nan,0.0
