date,index,expiry_tag,offset,horizon,window,k,mode,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_total_windows,ann_shortlisted,ann_prune_ratio,ann_build_ms,ann_index_mem_bytes
2025-11-04,NIFTY,this_week,0,60,120,10,hybrid,4,3,0.75,0.0,0,24,,0,11040
2025-11-06,NIFTY,this_week,0,60,120,10,hybrid,3,3,1.0,0.0,0,24,,0,11040
2025-09-30,NIFTY,this_week,0,60,120,15,retrieval,369,4,0.01084010840108401,0.0,23,20,0.8695652173913043,366,11040
2025-10-01,NIFTY,this_week,0,60,120,15,retrieval,2,2,1.0,0.0,0,24,,0,11040
2025-10-03,NIFTY,this_week,0,60,120,15,retrieval,3,3,1.0,0.0,0,24,,0,11040
2025-10-07,NIFTY,this_week,0,60,120,15,retrieval,2,3,1.5,0.0,0,24,,0,11040
2025-10-08,NIFTY,this_week,0,60,120,15,retrieval,2,2,1.0,0.0,0,24,,0,11040
2025-10-09,NIFTY,this_week,0,60,120,15,retrieval,2,2,1.0,0.0,0,24,,0,11040
2025-10-10,NIFTY,this_week,0,60,120,15,retrieval,2,2,1.0,0.0,0,24,,0,11040
2025-10-24,NIFTY,this_week,0,60,120,15,retrieval,2,2,1.0,0.0,0,24,,0,11040
2025-10-28,NIFTY,this_week,0,60,120,15,retrieval,3,2,0.6666666666666666,0.0,0,24,,0,11040
2025-10-29,NIFTY,this_week,0,60,120,15,retrieval,2,2,1.0,0.0,0,24,,0,11040
2025-10-30,NIFTY,this_week,0,60,120,15,retrieval,2,2,1.0,0.0,0,24,,0,11040
2025-10-31,NIFTY,this_week,0,60,120,15,retrieval,3,2,0.6666666666666666,0.0,23,20,0.8695652173913043,1,10304
2025-11-03,NIFTY,this_week,0,60,120,15,retrieval,2,2,1.0,0.0,0,24,,0,11040
2025-11-04,NIFTY,this_week,0,60,120,15,retrieval,3,2,0.6666666666666666,0.0,0,24,,0,11040
2025-11-06,NIFTY,this_week,0,60,120,15,retrieval,2,2,1.0,0.0,0,24,,0,11040
2025-09-30,NIFTY,this_week,0,60,120,15,auto,368,4,0.010869565217391304,2.79214624233036,23,20,0.8695652173913043,1,11040
2025-10-01,NIFTY,this_week,0,60,120,15,auto,4,4,1.0,0.0,0,24,,0,11040
2025-10-03,NIFTY,this_week,0,60,120,15,auto,4,3,0.75,0.0,0,24,,0,11040
2025-10-07,NIFTY,this_week,0,60,120,15,auto,3,4,1.3333333333333333,0.0,0,24,,0,11040
2025-10-08,NIFTY,this_week,0,60,120,15,auto,3,3,1.0,0.0,0,24,,0,11040
2025-10-09,NIFTY,this_week,0,60,120,15,auto,3,3,1.0,0.0,0,24,,0,11040
2025-10-10,NIFTY,this_week,0,60,120,15,auto,4,3,0.75,0.0,0,24,,0,11040
2025-10-24,NIFTY,this_week,0,60,120,15,auto,4,3,0.75,0.0,0,24,,0,11040
2025-10-28,NIFTY,this_week,0,60,120,15,auto,4,3,0.75,0.0,0,24,,0,11040
2025-10-29,NIFTY,this_week,0,60,120,15,auto,3,4,1.3333333333333333,0.0,0,24,,0,11040
2025-10-30,NIFTY,this_week,0,60,120,15,auto,3,3,1.0,0.0,0,24,,0,11040
2025-10-31,NIFTY,this_week,0,60,120,15,auto,4,3,0.75,0.0,0,24,,0,11040
2025-11-03,NIFTY,this_week,0,60,120,15,auto,3,3,1.0,0.0,0,24,,0,11040
2025-11-04,NIFTY,this_week,0,60,120,15,auto,3,3,1.0,0.0,0,24,,0,11040
2025-11-06,NIFTY,this_week,0,60,120,15,auto,3,3,1.0,0.0,0,24,,0,11040
2025-09-30,NIFTY,this_week,0,60,120,15,hybrid,366,4,0.01092896174863388,2.79214624233036,23,20,0.8695652173913043,1,11040
2025-10-01,NIFTY,this_week,0,60,120,15,hybrid,4,4,1.0,0.0,0,24,,0,11040
2025-10-03,NIFTY,this_week,0,60,120,15,hybrid,3,3,1.0,0.0,0,24,,0,11040
2025-10-07,NIFTY,this_week,0,60,120,15,hybrid,3,3,1.0,0.0,0,24,,0,11040
2025-10-08,NIFTY,this_week,0,60,120,15,hybrid,3,3,1.0,0.0,0,24,,0,11040
2025-10-09,NIFTY,this_week,0,60,120,15,hybrid,3,3,1.0,0.0,0,24,,0,11040
2025-10-10,NIFTY,this_week,0,60,120,15,hybrid,3,4,1.3333333333333333,0.0,0,24,,0,11040
2025-10-24,NIFTY,this_week,0,60,120,15,hybrid,4,3,0.75,0.0,0,24,,0,11040
2025-10-28,NIFTY,this_week,0,60,120,15,hybrid,3,4,1.3333333333333333,0.0,0,24,,0,11040
2025-10-29,NIFTY,this_week,0,60,120,15,hybrid,3,3,1.0,0.0,0,24,,0,11040
2025-10-30,NIFTY,this_week,0,60,120,15,hybrid,3,4,1.3333333333333333,0.0,0,24,,0,11040
2025-10-31,NIFTY,this_week,0,60,120,15,hybrid,3,4,1.3333333333333333,0.0,0,24,,0,11040
2025-11-03,NIFTY,this_week,0,60,120,15,hybrid,3,3,1.0,0.0,0,24,,0,11040
2025-11-04,NIFTY,this_week,0,60,120,15,hybrid,4,4,1.0,0.0,0,24,,0,11040
2025-11-06,NIFTY,this_week,0,60,120,15,hybrid,4,3,0.75,0.0,0,24,,0,11040
2025-09-30,NIFTY,this_week,+50,60,60,10,retrieval,365,2,0.005479452054794521,0.0,24,20,0.8333333333333334,363,5760
2025-10-01,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-03,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-07,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-08,NIFTY,this_week,+50,60,60,10,retrieval,2,1,0.5,0.0,0,24,,0,5760
2025-10-09,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-10,NIFTY,this_week,+50,60,60,10,retrieval,1,1,1.0,0.0,0,24,,0,5760
2025-10-24,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-28,NIFTY,this_week,+50,60,60,10,retrieval,1,1,1.0,0.0,0,24,,0,5760
2025-10-29,NIFTY,this_week,+50,60,60,10,retrieval,2,1,0.5,0.0,0,24,,0,5760
2025-10-30,NIFTY,this_week,+50,60,60,10,retrieval,2,1,0.5,0.0,0,24,,0,5760
2025-10-31,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-11-03,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-11-04,NIFTY,this_week,+50,60,60,10,retrieval,2,1,0.5,0.0,0,24,,0,5760
2025-11-06,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-09-30,NIFTY,this_week,+50,60,60,10,auto,381,3,0.007874015748031496,2.967305878316246,24,20,0.8333333333333334,1,5760
2025-10-01,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-03,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-07,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-08,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-09,NIFTY,this_week,+50,60,60,10,auto,3,4,1.3333333333333333,0.0,0,24,,0,5760
2025-10-10,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-24,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-28,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-29,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-30,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-31,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-11-03,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-11-04,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-11-06,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-09-30,NIFTY,this_week,+50,60,60,10,hybrid,363,3,0.008264462809917356,2.967305878316246,24,20,0.8333333333333334,1,5760
2025-10-01,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-03,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-07,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-08,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-09,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-10,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-24,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-28,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-29,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-30,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-31,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-11-03,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-11-04,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-11-06,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-09-30,NIFTY,this_week,+50,60,60,15,retrieval,370,2,0.005405405405405406,0.0,24,20,0.8333333333333334,367,5760
2025-10-01,NIFTY,this_week,+50,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-03,NIFTY,this_week,+50,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-07,NIFTY,this_week,+50,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-08,NIFTY,this_week,+50,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-09,NIFTY,this_week,+50,60,60,15,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-10,NIFTY,this_week,+50,60,60,15,retrieval,3,2,0.6666666666666666,0.0,0,24,,0,5760
