index,expiry_tag,offset,horizon,window,k,mode,rows,speedup_avg,prune_ratio_avg,q50_mad_avg,latency_ms_avg,baseline_latency_ms_avg,effectiveness_score,effectiveness_score_adjusted,ann_guard_trigger_rate,score
NIFTY,this_week,0,60,60,10,retrieval,2,0.5043,0.8333,0.0,176.0,2.5,0.084048,0.0,0.0,0.4123
NIFTY,this_week,0,60,120,10,retrieval,2,0.5028,0.8696,0.0,181.0,2.0,0.06558,0.0,0.0,0.3874
