index,expiry_tag,offset,horizon,window,k,mode,rows,speedup_avg,prune_ratio_avg,q50_mad_avg,latency_ms_avg,baseline_latency_ms_avg,score
NIFTY,this_week,0,60,60,15,auto,6,0.8903,1.0,0.0,62.17,3.17,0.8281
NIFTY,this_week,0,60,60,15,hybrid,6,0.8347,1.0,0.0,61.5,3.0,0.7732
NIFTY,this_week,0,60,60,15,retrieval,6,0.8342,1.0,0.0,63.67,2.0,0.7706
