horizon,window,k,mode,n,coverage_avg,band_width_avg,mae_avg,bias_avg,samples_avg
30,374,15,retrieval,5,nan,nan,nan,nan,0.0
30,374,20,auto,5,nan,nan,nan,nan,0.0
30,374,20,hybrid,5,nan,nan,nan,nan,0.0
30,374,20,retrieval,5,nan,nan,nan,nan,0.0
30,375,10,auto,9,nan,nan,nan,nan,0.0
30,375,10,hybrid,9,nan,nan,nan,nan,0.0
30,375,10,retrieval,9,nan,nan,nan,nan,0.0
30,375,15,auto,9,nan,nan,nan,nan,0.0
30,375,15,hybrid,9,nan,nan,nan,nan,0.0
30,375,15,retrieval,9,nan,nan,nan,nan,0.0
30,375,20,auto,9,nan,nan,nan,nan,0.0
30,375,20,hybrid,9,nan,nan,nan,nan,0.0
30,375,20,retrieval,9,nan,nan,nan,nan,0.0
60,60,10,auto,18,nan,nan,nan,nan,0.0
60,60,10,hybrid,18,nan,nan,nan,nan,0.0
60,60,10,retrieval,18,nan,nan,nan,nan,0.0
60,60,15,auto,18,nan,nan,nan,nan,0.0
60,60,15,hybrid,18,nan,nan,nan,nan,0.0
60,60,15,retrieval,18,nan,nan,nan,nan,0.0
60,60,20,auto,18,nan,nan,nan,nan,0.0
60,60,20,hybrid,18,nan,nan,nan,nan,0.0
60,60,20,retrieval,18,nan,nan,nan,nan,0.0
60,120,10,auto,18,nan,nan,nan,nan,0.0
60,120,10,hybrid,18,nan,nan,nan,nan,0.0
60,120,10,retrieval,18,nan,nan,nan,nan,0.0
60,120,15,auto,18,nan,nan,nan,nan,0.0
60,120,15,hybrid,18,nan,nan,nan,nan,0.0
60,120,15,retrieval,18,nan,nan,nan,nan,0.0
60,120,20,auto,18,nan,nan,nan,nan,0.0
60,120,20,hybrid,18,nan,nan,nan,nan,0.0
60,120,20,retrieval,18,nan,nan,nan,nan,0.0
60,169,10,auto,1,nan,nan,nan,nan,0.0
60,169,10,hybrid,1,nan,nan,nan,nan,0.0
60,169,10,retrieval,1,nan,nan,nan,nan,0.0
60,169,15,auto,1,nan,nan,nan,nan,0.0
60,169,15,hybrid,1,nan,nan,nan,nan,0.0
60,169,15,retrieval,1,nan,nan,nan,nan,0.0
60,169,20,auto,1,nan,nan,nan,nan,0.0
60,169,20,hybrid,1,nan,nan,nan,nan,0.0
60,169,20,retrieval,1,nan,nan,nan,nan,0.0
60,180,10,auto,18,nan,nan,nan,nan,0.0
60,180,10,hybrid,18,nan,nan,nan,nan,0.0
60,180,10,retrieval,18,nan,nan,nan,nan,0.0
60,180,15,auto,18,nan,nan,nan,nan,0.0
60,180,15,hybrid,18,nan,nan,nan,nan,0.0
60,180,15,retrieval,18,nan,nan,nan,nan,0.0
60,180,20,auto,18,nan,nan,nan,nan,0.0
60,180,20,hybrid,18,nan,nan,nan,nan,0.0
60,180,20,retrieval,18,nan,nan,nan,nan,0.0
60,334,10,auto,1,nan,nan,nan,nan,0.0
60,334,10,hybrid,1,nan,nan,nan,nan,0.0
60,334,10,retrieval,1,nan,nan,nan,nan,0.0
60,334,15,auto,1,nan,nan,nan,nan,0.0
60,334,15,hybrid,1,nan,nan,nan,nan,0.0
60,334,15,retrieval,1,nan,nan,nan,nan,0.0
60,334,20,auto,1,nan,nan,nan,nan,0.0
60,334,20,hybrid,1,nan,nan,nan,nan,0.0
60,334,20,retrieval,1,nan,nan,nan,nan,0.0
60,367,10,auto,1,nan,nan,nan,nan,0.0
60,367,10,hybrid,1,nan,nan,nan,nan,0.0
60,367,10,retrieval,1,nan,nan,nan,nan,0.0
60,367,15,auto,1,nan,nan,nan,nan,0.0
60,367,15,hybrid,1,nan,nan,nan,nan,0.0
60,367,15,retrieval,1,nan,nan,nan,nan,0.0
60,367,20,auto,1,nan,nan,nan,nan,0.0
60,367,20,hybrid,1,nan,nan,nan,nan,0.0
60,367,20,retrieval,1,nan,nan,nan,nan,0.0
60,370,10,auto,1,nan,nan,nan,nan,0.0
60,370,10,hybrid,1,nan,nan,nan,nan,0.0
60,370,10,retrieval,1,nan,nan,nan,nan,0.0
60,370,15,auto,1,nan,nan,nan,nan,0.0
60,370,15,hybrid,1,nan,nan,nan,nan,0.0
60,370,15,retrieval,1,nan,nan,nan,nan,0.0
60,370,20,auto,1,nan,nan,nan,nan,0.0
60,370,20,hybrid,1,nan,nan,nan,nan,0.0
60,370,20,retrieval,1,nan,nan,nan,nan,0.0
60,374,10,auto,5,nan,nan,nan,nan,0.0
60,374,10,hybrid,5,nan,nan,nan,nan,0.0
60,374,10,retrieval,5,nan,nan,nan,nan,0.0
60,374,15,auto,5,nan,nan,nan,nan,0.0
60,374,15,hybrid,5,nan,nan,nan,nan,0.0
60,374,15,retrieval,5,nan,nan,nan,nan,0.0
60,374,20,auto,5,nan,nan,nan,nan,0.0
60,374,20,hybrid,5,nan,nan,nan,nan,0.0
60,374,20,retrieval,5,nan,nan,nan,nan,0.0
60,375,10,auto,9,nan,nan,nan,nan,0.0
60,375,10,hybrid,9,nan,nan,nan,nan,0.0
60,375,10,retrieval,9,nan,nan,nan,nan,0.0
60,375,15,auto,9,nan,nan,nan,nan,0.0
60,375,15,hybrid,9,nan,nan,nan,nan,0.0
60,375,15,retrieval,9,nan,nan,nan,nan,0.0
60,375,20,auto,9,nan,nan,nan,nan,0.0
60,375,20,hybrid,9,nan,nan,nan,nan,0.0
60,375,20,retrieval,9,nan,nan,nan,nan,0.0
