ts_iso,ts_ms,band_scale,target,actual,samples
2025-11-07T05:22:53+00:00,1762492973907,0.8944271909999159,0.8,1.0,26
2025-11-07T05:37:55+00:00,1762493875054,0.7999999999999999,0.8,1.0,151
2025-11-07T05:52:56+00:00,1762494776398,0.7155417527999326,0.8,1.0,151
2025-11-07T06:32:57+00:00,1762497177695,0.6844447900734453,0.8,0.8743455497382199,191
2025-11-07T06:47:58+00:00,1762498078931,0.7562521308592404,0.8,0.6552901023890785,293
2025-11-07T07:03:00+00:00,1762498980320,0.8355930145479977,0.8,0.6552901023890785,293
2025-11-07T07:18:02+00:00,1762499882265,0.9301506902203535,0.8,0.6456140350877193,285
2025-11-07T07:33:06+00:00,1762500786234,1.191779203487821,0.8,0.4873096446700508,197
2025-11-07T07:48:08+00:00,1762501688727,2.1136715874895353,0.8,0.2543352601156069,173
2025-11-07T08:03:10+00:00,1762502590571,3.556737770479222,0.8,0.2825278810408922,269
2025-11-07T08:18:12+00:00,1762503492822,5.0,0.8,0.404320987654321,324
2025-11-07T08:33:14+00:00,1762504394733,5.0,0.8,0.4955223880597015,335
2025-11-07T08:48:16+00:00,1762505296269,5.0,0.8,0.6816608996539792,289
2025-11-07T09:03:18+00:00,1762506198533,5.0,0.8,0.7415730337078652,356
2025-11-07T09:48:27+00:00,1762508907762,4.83593252498868,0.8,0.8552036199095022,442
2025-11-07T10:03:29+00:00,1762509809455,4.460682430188414,0.8,0.9402597402597402,385
2025-11-07T10:18:30+00:00,1762510710949,4.114550325128491,0.8,0.9402597402597402,385
2025-11-07T10:33:32+00:00,1762511612420,3.7952767638067173,0.8,0.9402597402597402,385
2025-11-07T10:48:33+00:00,1762512513888,3.500777624694959,0.8,0.9402597402597402,385
2025-11-07T11:03:35+00:00,1762513415445,3.2291305062222904,0.8,0.9402597402597402,385
2025-11-07T11:18:36+00:00,1762514316947,2.9785621779172584,0.8,0.9402597402597402,385
2025-11-07T11:33:38+00:00,1762515218528,2.7474370052941035,0.8,0.9402597402597402,385
2025-11-07T11:48:39+00:00,1762516119987,2.5342462729240762,0.8,0.9402597402597402,385
2025-11-07T12:03:41+00:00,1762517021476,2.337598335996088,0.8,0.9402597402597402,385
2025-11-07T12:22:02+00:00,1762518122822,2.1562095360790483,0.8,0.9402597402597402,385
2025-11-07T12:37:04+00:00,1762519024452,1.988895821786727,0.8,0.9402597402597402,385
2025-11-07T12:52:05+00:00,1762519925974,1.8345650196473673,0.8,0.9402597402597402,385
2025-11-07T13:07:07+00:00,1762520827447,1.6922097047246187,0.8,0.9402597402597402,385
2025-11-07T13:22:08+00:00,1762521728981,1.5609006244513512,0.8,0.9402597402597402,385
2025-11-07T13:37:10+00:00,1762522630622,1.4397806327491232,0.8,0.9402597402597402,385
2025-11-07T13:52:13+00:00,1762523533610,1.3280590948370614,0.8,0.9402597402597402,385
2025-11-07T14:07:16+00:00,1762524436539,1.2250067262064364,0.8,0.9402597402597402,385
2025-11-07T14:30:52+00:00,1762525852139,1.129950832071312,0.8,0.9402597402597402,385
2025-11-07T16:19:32+00:00,1762532372523,1.0422709162198411,0.8,0.9402597402597402,385
2025-11-07T16:34:34+00:00,1762533274032,0.9613946306021109,0.8,0.9402597402597402,385
2025-11-07T16:49:36+00:00,1762534176112,0.8867940392146715,0.8,0.9402597402597402,385
2025-11-07T17:04:37+00:00,1762535077448,0.8179821718935089,0.8,0.9402597402597402,385
2025-11-07T17:19:38+00:00,1762535978229,0.7545098455196654,0.8,0.9402597402597402,385
2025-11-07T17:34:39+00:00,1762536879061,0.695962731887295,0.8,0.9402597402597402,385
2025-11-07T17:57:04+00:00,1762538224771,0.6419586530940801,0.8,0.9402597402597402,385
