ts_ms,ts_iso,band_scale,target,actual,samples
1762364265093,2025-11-05T23:07:45,5.0,0.8,0.0,240
1762405119525,2025-11-06T10:28:39,4.894427190999916,0.8,1.0,14
1762406019762,2025-11-06T10:43:39,4.7910835055998655,0.8,1.0,29
1762406920031,2025-11-06T10:58:40,4.6899218768318365,0.8,1.0,44
1762407120899,2025-11-06T11:02:00,4.59089623152622,0.8,1.0,47
1762407820276,2025-11-06T11:13:40,4.4939614693281955,0.8,1.0,67
2025-11-06T05:58:41+00:00,1762408721039,4.019521333473072,0.8,1.0,87
2025-11-06T06:13:43+00:00,1762409623194,3.5951691754625563,0.8,1.0,102
2025-11-06T06:28:45+00:00,1762410525219,3.215617066778458,0.8,1.0,126
2025-11-06T06:43:47+00:00,1762411427238,2.8761353403700447,0.8,1.0,140
2025-11-06T06:58:49+00:00,1762412329403,2.572493653422766,0.8,1.0,160
2025-11-06T07:13:51+00:00,1762413231571,2.3009082722960357,0.8,1.0,179
2025-11-06T07:28:53+00:00,1762414133760,2.057994922738213,0.8,1.0,183
2025-11-06T07:43:55+00:00,1762415035754,1.8407266178368284,0.8,1.0,178
2025-11-06T07:58:57+00:00,1762415937818,1.6463959381905702,0.8,1.0,174
2025-11-06T08:13:59+00:00,1762416839942,1.4725812942694627,0.8,1.0,180
2025-11-06T08:29:02+00:00,1762417742063,1.317116750552456,0.8,1.0,178
2025-11-06T08:44:04+00:00,1762418644299,1.17806503541557,0.8,1.0,177
2025-11-06T08:59:06+00:00,1762419546652,1.0536934004419647,0.8,1.0,164
2025-11-06T09:14:08+00:00,1762420448740,0.942452028332456,0.8,1.0,145
2025-11-06T09:29:10+00:00,1762421350991,0.8429547203535718,0.8,1.0,140
2025-11-06T09:44:13+00:00,1762422253414,0.756688436711887,0.8,0.9928057553956835,139
2025-11-06T09:59:15+00:00,1762423155674,0.6996655019134932,0.8,0.9357142857142857,140
2025-11-06T10:29:28+00:00,1762424968227,0.6492461199727372,0.8,0.9290780141843972,141
2025-11-06T10:44:32+00:00,1762425872658,0.6024600657697866,0.8,0.9290780141843972,141
2025-11-07T05:12:52+00:00,1762492372537,3.6648328747706898,0.8,0.6486486486486487,37
2025-11-07T05:27:54+00:00,1762493274556,3.4117737322395807,0.8,0.9230769230769231,169
2025-11-07T05:42:55+00:00,1762494175671,3.1169996684846364,0.8,0.9584664536741214,313
2025-11-07T06:32:57+00:00,1762497177125,2.846474841527372,0.8,0.9592875318066157,393
2025-11-07T06:47:58+00:00,1762498078394,2.63958790227714,0.8,0.9303201506591338,531
2025-11-07T07:02:59+00:00,1762498979706,2.4489913907860545,0.8,0.929368029739777,538
2025-11-07T07:18:01+00:00,1762499881066,2.252791727691405,0.8,0.9454148471615721,458
2025-11-07T07:33:05+00:00,1762500785622,2.0951387762126923,0.8,0.924924924924925,333
2025-11-07T07:48:07+00:00,1762501687008,1.9650584303864789,0.8,0.9094202898550725,276
2025-11-07T08:03:09+00:00,1762502589836,1.8197944809110345,0.8,0.9328165374677002,387
2025-11-07T08:18:11+00:00,1762503491831,1.6801276046147564,0.8,0.9385342789598109,423
2025-11-07T08:33:14+00:00,1762504394002,1.5505262583489055,0.8,0.9393258426966292,445
2025-11-07T08:48:15+00:00,1762505295620,1.45256096392261,0.8,0.9115479115479116,407
2025-11-07T09:03:17+00:00,1762506197520,1.3911695007968834,0.8,0.8721649484536083,485
2025-11-07T09:18:19+00:00,1762507099827,1.3549755310042668,0.8,0.8433098591549296,568
2025-11-07T09:33:23+00:00,1762508003173,1.3291536426444879,0.8,0.8313856427378965,599
2025-11-07T09:48:26+00:00,1762508906774,1.318974731621873,0.8,0.8123953098827471,597
2025-11-07T10:03:28+00:00,1762509808714,1.3338229449700103,0.8,0.7822878228782287,542
2025-11-07T10:18:30+00:00,1762510710316,1.3488383104510477,0.8,0.7822878228782287,542
2025-11-07T10:33:31+00:00,1762511611792,1.3640227097617845,0.8,0.7822878228782287,542
2025-11-07T10:48:33+00:00,1762512513264,1.3793780457820153,0.8,0.7822878228782287,542
2025-11-07T11:03:34+00:00,1762513414770,1.394906242812995,0.8,0.7822878228782287,542
2025-11-07T11:18:36+00:00,1762514316332,1.4106092468185893,0.8,0.7822878228782287,542
2025-11-07T11:33:37+00:00,1762515217823,1.4264890256691385,0.8,0.7822878228782287,542
2025-11-07T11:48:39+00:00,1762516119325,1.4425475693880672,0.8,0.7822878228782287,542
2025-11-07T12:03:40+00:00,1762517020841,1.4587868904012702,0.8,0.7822878228782287,542
2025-11-07T12:22:01+00:00,1762518121345,1.4752090237893065,0.8,0.7822878228782287,542
2025-11-07T12:37:03+00:00,1762519023761,1.4918160275424313,0.8,0.7822878228782287,542
2025-11-07T12:52:05+00:00,1762519925346,1.5086099828184987,0.8,0.7822878228782287,542
