trial,mse,learning_rate,max_iter,max_depth,l2_regularization,early_stopping,random_state
1,0.2506309449672699,0.03,200,,0.0,True,42
2,0.2431047111749649,0.03,200,,0.1,True,42
3,0.2597036063671112,0.03,200,,0.5,True,42
4,0.2506309449672699,0.03,200,8,0.0,True,42
5,0.2384275197982788,0.03,200,8,0.1,True,42
6,0.2597036063671112,0.03,200,8,0.5,True,42
7,0.2506309449672699,0.03,200,16,0.0,True,42
8,0.2431047111749649,0.03,200,16,0.1,True,42
9,0.2597036063671112,0.03,200,16,0.5,True,42
10,0.2506309449672699,0.03,300,,0.0,True,42
11,0.2431047111749649,0.03,300,,0.1,True,42
12,0.2597036063671112,0.03,300,,0.5,True,42
13,0.2506309449672699,0.03,300,8,0.0,True,42
14,0.2384275197982788,0.03,300,8,0.1,True,42
15,0.2597036063671112,0.03,300,8,0.5,True,42
16,0.2506309449672699,0.03,300,16,0.0,True,42
17,0.2431047111749649,0.03,300,16,0.1,True,42
18,0.2597036063671112,0.03,300,16,0.5,True,42
19,0.2506309449672699,0.03,400,,0.0,True,42
20,0.2431047111749649,0.03,400,,0.1,True,42
21,0.2597036063671112,0.03,400,,0.5,True,42
22,0.2506309449672699,0.03,400,8,0.0,True,42
23,0.2384275197982788,0.03,400,8,0.1,True,42
24,0.2597036063671112,0.03,400,8,0.5,True,42
25,0.2506309449672699,0.03,400,16,0.0,True,42
26,0.2431047111749649,0.03,400,16,0.1,True,42
27,0.2597036063671112,0.03,400,16,0.5,True,42
28,0.2506309449672699,0.03,800,,0.0,True,42
29,0.2431047111749649,0.03,800,,0.1,True,42
30,0.2597036063671112,0.03,800,,0.5,True,42
31,0.2506309449672699,0.03,800,8,0.0,True,42
32,0.2384275197982788,0.03,800,8,0.1,True,42
33,0.2597036063671112,0.03,800,8,0.5,True,42
34,0.2506309449672699,0.03,800,16,0.0,True,42
35,0.2431047111749649,0.03,800,16,0.1,True,42
36,0.2597036063671112,0.03,800,16,0.5,True,42
