trial,mse,learning_rate,max_iter,max_depth,l2_regularization,early_stopping,random_state
1,0.7890690565109253,0.03,200,,0.0,True,42
2,0.7923009991645813,0.03,200,,0.1,True,42
3,0.7719898223876953,0.03,200,,0.5,True,42
4,0.791239321231842,0.03,200,8,0.0,True,42
5,0.7854453921318054,0.03,200,8,0.1,True,42
6,0.7669233083724976,0.03,200,8,0.5,True,42
7,0.7890690565109253,0.03,200,16,0.0,True,42
8,0.7923009991645813,0.03,200,16,0.1,True,42
9,0.7719898223876953,0.03,200,16,0.5,True,42
10,0.7890690565109253,0.03,300,,0.0,True,42
11,0.7923009991645813,0.03,300,,0.1,True,42
12,0.7719898223876953,0.03,300,,0.5,True,42
13,0.791239321231842,0.03,300,8,0.0,True,42
14,0.7854453921318054,0.03,300,8,0.1,True,42
15,0.7669233083724976,0.03,300,8,0.5,True,42
16,0.7890690565109253,0.03,300,16,0.0,True,42
17,0.7923009991645813,0.03,300,16,0.1,True,42
18,0.7719898223876953,0.03,300,16,0.5,True,42
19,0.7890690565109253,0.03,400,,0.0,True,42
20,0.7923009991645813,0.03,400,,0.1,True,42
21,0.7719898223876953,0.03,400,,0.5,True,42
22,0.791239321231842,0.03,400,8,0.0,True,42
23,0.7854453921318054,0.03,400,8,0.1,True,42
24,0.7669233083724976,0.03,400,8,0.5,True,42
25,0.7890690565109253,0.03,400,16,0.0,True,42
26,0.7923009991645813,0.03,400,16,0.1,True,42
27,0.7719898223876953,0.03,400,16,0.5,True,42
28,0.7890690565109253,0.03,800,,0.0,True,42
29,0.7923009991645813,0.03,800,,0.1,True,42
30,0.7719898223876953,0.03,800,,0.5,True,42
31,0.791239321231842,0.03,800,8,0.0,True,42
32,0.7854453921318054,0.03,800,8,0.1,True,42
33,0.7669233083724976,0.03,800,8,0.5,True,42
34,0.7890690565109253,0.03,800,16,0.0,True,42
35,0.7923009991645813,0.03,800,16,0.1,True,42
36,0.7719898223876953,0.03,800,16,0.5,True,42
37,0.79220050573349,0.05,200,,0.0,True,42
