path,rows,parsed_ts,parse_fail,out_of_order,duplicate_ts,negative_values,min_ts,max_ts,min_tp,max_tp,issue_count
data\g6_data\SENSEX\this_week\+1100\2025-10-03.csv,0,0,0,0,0,0,,,,,0
data\g6_data\SENSEX\this_week\+200\2025-09-15.csv,327,327,0,0,0,0,1757909010000,1757930340000,568.05,641.14,0
data\g6_data\SENSEX\this_week\+200\2025-09-16.csv,376,376,0,0,1,0,1757994420000,1758016800000,498.5,602.14,0
data\g6_data\SENSEX\this_week\+200\2025-09-17.csv,242,242,0,0,0,0,1758088650000,1758103200000,359.4,427.73,0
data\g6_data\SENSEX\this_week\+200\2025-09-18.csv,548,548,0,0,219,0,1758169830000,1758189600000,122.35,787.76,0
data\g6_data\SENSEX\this_week\+200\2025-09-19.csv,266,266,0,0,132,0,1758256020000,1758275910000,643.0,731.6500000000001,0
data\g6_data\SENSEX\this_week\+200\2025-09-22.csv,568,568,0,0,284,0,1758517800000,1758535170000,554.5,660.02,0
data\g6_data\SENSEX\this_week\+200\2025-09-30.csv,465,465,0,0,8,0,1759209870000,1759226370000,434.25,574.43,0
data\g6_data\SENSEX\this_week\+200\2025-10-01.csv,630,630,0,0,2,0,1759292160000,1759312770000,108.69999999999999,501.0,0
data\g6_data\SENSEX\this_week\+200\2025-10-03.csv,632,632,0,0,4,0,1759463190000,1759485600000,611.2,754.5699999999999,0
data\g6_data\SENSEX\this_week\+200\2025-10-06.csv,227,227,0,0,2,0,1759737990000,1759744800000,526.21,586.95,0
data\g6_data\SENSEX\this_week\+200\2025-10-07.csv,545,545,0,0,12,0,1759811100000,1759830930000,433.75,571.92,0
data\g6_data\SENSEX\this_week\+200\2025-10-08.csv,730,730,0,0,0,0,1759895160000,1759917600000,343.4,495.41,0
data\g6_data\SENSEX\this_week\+200\2025-10-09.csv,297,297,0,0,0,0,1759995000000,1760004000000,128.20000000000002,376.52000000000004,0
data\g6_data\SENSEX\this_week\+200\2025-10-10.csv,738,738,0,0,0,0,1760068080000,1760090400000,659.45,754.39,0
data\g6_data\SENSEX\this_week\+200\2025-10-23.csv,307,307,0,0,0,0,1761202230000,1761213600000,105.74000000000001,392.33000000000004,0
data\g6_data\SENSEX\this_week\+200\2025-10-24.csv,187,187,0,0,0,0,1761282060000,1761287640000,883.75,971.94,0
data\g6_data\SENSEX\this_week\+200\2025-10-27.csv,479,479,0,0,5,0,1761540750000,1761558210000,793.8499999999999,874.3,0
data\g6_data\SENSEX\this_week\+200\2025-10-28.csv,693,693,0,1,15,0,1761624000000,1761645600000,689.35,162000.0,1
data\g6_data\SENSEX\this_week\+200\2025-10-29.csv,671,671,0,0,0,0,1761711900000,1761732000000,474.54999999999995,615.4200000000001,0
data\g6_data\SENSEX\this_week\+200\2025-10-30.csv,567,567,0,0,3,0,1761795900000,1761818400000,118.25,475.15,0
data\g6_data\SENSEX\this_week\+200\2025-10-31.csv,452,452,0,0,25,0,1761885210000,1761904800000,842.75,925.0899999999999,0
data\g6_data\SENSEX\this_week\+200\2025-11-03.csv,531,531,0,0,0,0,1762139550000,1762163490000,709.65,938.2124999999999,0
data\g6_data\SENSEX\this_week\+200\2025-11-04.csv,678,678,0,0,1,0,1762228890000,1762250400000,523.45,671.35,0
data\g6_data\SENSEX\this_week\+200\2025-11-06.csv,665,665,0,0,0,0,1762400490000,1762422360000,158.9,606.825,0
data\g6_data\SENSEX\this_week\+300\2025-09-15.csv,327,327,0,0,0,0,1757909010000,1757930340000,579.1,671.46,0
data\g6_data\SENSEX\this_week\+300\2025-09-16.csv,349,349,0,0,1,0,1757994480000,1758016020000,515.5,639.1700000000001,0
data\g6_data\SENSEX\this_week\+300\2025-09-17.csv,242,242,0,0,0,0,1758088650000,1758103200000,381.85,468.21,0
data\g6_data\SENSEX\this_week\+300\2025-09-18.csv,392,392,0,0,64,0,1758169830000,1758189600000,155.65,766.1800000000001,0
data\g6_data\SENSEX\this_week\+300\2025-09-19.csv,266,266,0,0,132,0,1758256020000,1758275910000,651.35,743.05,0
data\g6_data\SENSEX\this_week\+300\2025-09-22.csv,568,568,0,0,284,0,1758517800000,1758535170000,558.5,634.35,0
data\g6_data\SENSEX\this_week\+300\2025-09-30.csv,465,465,0,0,8,0,1759209870000,1759226370000,451.2,589.97,0
data\g6_data\SENSEX\this_week\+300\2025-10-01.csv,630,630,0,0,2,0,1759292160000,1759312770000,199.55,593.37,0
data\g6_data\SENSEX\this_week\+300\2025-10-03.csv,617,617,0,0,4,0,1759463310000,1759485600000,621.5,778.13,0
data\g6_data\SENSEX\this_week\+300\2025-10-06.csv,172,172,0,0,1,0,1759737990000,1759744080000,532.2,598.55,0
data\g6_data\SENSEX\this_week\+300\2025-10-07.csv,545,545,0,0,12,0,1759811100000,1759830930000,452.29999999999995,611.72,0
data\g6_data\SENSEX\this_week\+300\2025-10-08.csv,730,730,0,0,0,0,1759895160000,1759917600000,365.62,549.85,0
