horizon,window,k,mode,scale,n,coverage_avg,band_width_avg,mae_avg,bias_avg,samples_avg
60,60,10,auto,1.0,1,0.2,36.57076357458323,22.026483019765813,-22.026483019765813,60.0
60,60,10,hybrid,1.0,1,0.2,36.57076357458323,22.026483019765813,-22.026483019765813,60.0
60,60,15,auto,1.0,1,0.3333333333333333,36.03930892914287,18.684770327067017,-18.684770327067017,60.0
60,60,15,hybrid,1.0,1,0.3333333333333333,36.03930892914287,18.684770327067017,-18.684770327067017,60.0
60,60,20,auto,1.0,1,0.35,36.36284758990238,17.226141954422253,-17.226141954422253,60.0
60,60,20,hybrid,1.0,1,0.35,36.36284758990238,17.226141954422253,-17.226141954422253,60.0
60,180,10,auto,1.0,1,0.21666666666666667,28.4388629964886,20.82365333456271,-20.82365333456271,60.0
60,180,10,hybrid,1.0,1,0.21666666666666667,28.4388629964886,20.82365333456271,-20.82365333456271,60.0
60,180,15,auto,1.0,1,0.15,26.31579513449797,21.887119123915078,-21.887119123915078,60.0
60,180,15,hybrid,1.0,1,0.15,26.31579513449797,21.887119123915078,-21.887119123915078,60.0
60,180,20,auto,1.0,1,0.15,26.31579513449797,21.887119123915078,-21.887119123915078,60.0
60,180,20,hybrid,1.0,1,0.15,26.31579513449797,21.887119123915078,-21.887119123915078,60.0
