index,expiry_tag,offset,horizon,window,k,mode,rows,speedup_avg,prune_ratio_avg,q50_mad_avg,latency_ms_avg,baseline_latency_ms_avg,score
NIFTY,this_week,0,60,60,15,retrieval,7,1.0833,0.4167,0.0,2.14,2.29,1.7131
NIFTY,this_week,0,60,60,15,hybrid,7,0.8583,1.0,0.0,53.57,3.0,0.8048
NIFTY,this_week,0,60,60,15,auto,7,0.8226,1.0,0.0,54.43,3.0,0.7682
