train_keys,test_keys,mse,mae,n_test
"0,1,2,3",4,0.08498208969831467,0.21699446439743042,71
"1,2,3,4",5,0.5541384816169739,0.6010230779647827,71
"2,3,4,5",6,1.5924636125564575,0.9778275489807129,5
