train_keys,test_keys,mse,mae,n_test
"0,1,2,3",4,0.36726871132850647,0.5209909677505493,76
"1,2,3,4",5,1.6039021015167236,1.1287236213684082,76
"2,3,4,5",6,0.005441770423203707,0.07376835495233536,1
