train_keys,test_keys,mse,mae,n_test
"0,1,2,3",4,3.9180328845977783,1.8838975429534912,54
"1,2,3,4",5,6.485081195831299,2.2348756790161133,54
"2,3,4,5",6,1.4922587871551514,1.2164373397827148,4
